Kontiopuiston lentopallokenttä|60.361504,25.09246
Koskelan hammashoitola|60.216835,24.960455
Pihlajamäki 1 lähipalvelualue|60.24321,24.993643
Kallio 2 lähipalvelualue|60.1854,24.963701
Haagan terveysasema|60.222248,24.90414
Pukinmäen hammashoitola|60.24321,24.993643
Suursuon sairaalan fysioterapia|60.23481,24.933018
Porolahden peruskoulu ylä-aste, kouluterveydenhuolto|60.19521,25.057161
Kontula 1 lähipalvelualue|60.238354,25.083698
Puistolan terveysasema|60.27498,25.034874
Idän päiväsairaala|60.187305,24.999006
Suutarilan terveysasema|60.275627,24.998425
Sofianlehdon/Killinmäen hammashoitola|60.20457,24.948858
Vuosaaren peruskoulu yläaste, kouluterveydenhuolto|60.21502,25.139051
Maunulan ta:n hammashoitola|60.23481,24.933018
Viiskulma 4 lähipalvelualue|60.16744,24.922728
Myllypuro 1 lähipalvelualue|60.224815,25.06405
Vironniemi 1 lähipalvelualue|60.17219,24.95806
Psykoosi- ja kuntoutusosastot|60.192482,24.927227
Haaga 4 lähipalvelualue|60.23112,24.879463
Oulunkylän ta:n hammashoitola|60.227768,24.963799
Kannelmäen ta:n hammashoitola|60.239243,24.87936
Idän psykiatrinen poliklinikka|60.21093,25.07977
Idän Kotisairaala|60.20734,25.03693
Kannelmäen peruskoulu yläaste, kouluterveydenhuolto|60.24849,24.882793
Herttoniemen vuodeosastot|60.20734,25.03693
Laakavuoren ala-aste, kouluterveydenhuolto|60.239296,25.109514
Pohjoisen psykiatrinen poliklinikka|60.252865,25.017008
